,Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine
45646,2007-12-30,15.4,35.0,0.0,9.6,13.0
45647,2007-12-31,13.8,33.5,0.0,11.4,13.6
45648,2008-01-01,13.6,34.2,0.0,8.8,12.8
45649,2008-01-02,14.3,35.0,0.0,7.6,10.5
45650,2008-01-03,15.9,23.4,0.0,12.6,2.2
45651,2008-01-04,16.7,25.3,0.0,6.2,12.5
45652,2008-01-05,12.1,27.5,0.0,7.4,11.7
45653,2008-01-06,14.3,34.1,0.0,6.6,10.5
45654,2008-01-07,16.5,33.9,0.0,9.0,12.6
45655,2008-01-08,16.5,30.3,0.0,10.0,8.1
45656,2008-01-09,17.5,29.9,0.0,6.6,8.8
45657,2008-01-10,14.7,34.2,0.0,6.6,12.8
45658,2008-01-11,17.5,35.8,0.0,9.4,13.3
45659,2008-01-12,20.9,35.7,0.0,13.8,6.9
45660,2008-01-13,17.0,33.8,2.0,9.0,13.5
45661,2008-01-14,16.0,22.8,0.0,12.4,6.0
45662,2008-01-15,15.4,33.8,0.0,5.2,11.1
45663,2008-01-16,17.9,33.2,0.0,10.4,8.4
45664,2008-01-17,15.2,25.1,4.8,6.4,11.6
45665,2008-01-18,15.1,20.4,0.0,9.6,0.1
45666,2008-01-19,15.3,19.6,18.8,5.0,0.0
45667,2008-01-20,17.2,24.7,12.2,1.4,8.1
45668,2008-01-21,15.9,19.9,0.8,5.6,1.6
45669,2008-01-22,10.0,22.5,0.0,4.4,11.6
45670,2008-01-23,9.9,24.4,0.0,5.8,10.8
45671,2008-01-24,10.3,27.8,0.0,6.4,9.9
45672,2008-01-25,15.4,25.7,0.0,6.8,8.2
45673,2008-01-26,12.7,28.8,0.0,7.4,9.0
45674,2008-01-27,13.2,31.3,0.0,6.6,11.6
45675,2008-01-28,15.3,33.2,0.0,9.4,13.2
45676,2008-01-29,17.9,33.9,0.0,10.4,11.8
45677,2008-01-30,18.0,34.9,0.0,9.2,9.9
45678,2008-01-31,17.6,27.8,5.2,10.2,3.6
45679,2008-02-01,16.0,23.8,2.2,5.4,6.2
45680,2008-02-02,14.9,28.8,0.0,5.8,8.1
45681,2008-02-03,17.1,29.6,0.0,5.8,9.2
45682,2008-02-04,18.2,22.6,1.8,8.0,0.0
45683,2008-02-05,16.8,22.8,9.0,2.8,0.3
45684,2008-02-06,13.6,27.4,1.0,2.8,8.0
45685,2008-02-07,14.5,24.2,0.0,6.8,5.9
45686,2008-02-08,12.4,19.9,16.2,5.4,5.6
45687,2008-02-09,10.4,20.9,0.0,4.0,8.9
45688,2008-02-10,9.1,23.1,0.0,5.8,9.6
45689,2008-02-11,8.9,26.0,0.0,5.0,10.7
45690,2008-02-12,14.5,24.2,4.4,6.6,5.9
45691,2008-02-13,12.6,18.2,11.0,3.2,0.4
45692,2008-02-14,8.6,24.2,0.2,2.8,12.7
45693,2008-02-15,10.8,25.2,0.0,5.6,12.6
45694,2008-02-16,11.2,26.1,0.0,7.2,12.6
45695,2008-02-17,12.1,24.1,0.0,7.4,10.2
45696,2008-02-18,10.8,25.8,0.0,6.8,11.7
45697,2008-02-19,11.4,27.1,0.0,5.6,12.1
45698,2008-02-20,12.0,28.9,0.0,7.2,8.2
45699,2008-02-21,16.3,24.8,1.8,7.8,3.8
45700,2008-02-22,12.7,28.6,6.6,3.2,8.6
45701,2008-02-23,12.7,25.1,0.0,7.8,12.4
45702,2008-02-24,12.0,23.8,0.0,10.4,12.4
45703,2008-02-25,11.5,25.9,0.0,5.2,10.2
45704,2008-02-26,13.0,28.2,0.0,5.0,11.6
45705,2008-02-27,11.7,27.6,0.0,7.8,8.1
45706,2008-02-28,14.8,17.3,0.0,7.6,0.8
45707,2008-02-29,7.7,18.4,10.4,5.2,12.0
45708,2008-03-01,4.4,21.8,0.0,6.2,12.1
45709,2008-03-02,7.4,24.4,0.0,6.2,11.6
45710,2008-03-03,8.3,27.3,0.0,5.6,10.1
45711,2008-03-04,10.1,28.2,0.0,6.0,7.3
45712,2008-03-05,12.0,27.6,0.0,6.0,11.0
45713,2008-03-06,12.9,31.8,0.0,6.0,11.3
45714,2008-03-07,10.8,29.2,0.0,8.4,7.5
45715,2008-03-08,9.5,27.4,3.0,4.8,11.5
45716,2008-03-09,12.1,27.8,0.0,5.0,11.5
45717,2008-03-10,12.5,31.7,0.0,6.6,11.2
45718,2008-03-11,13.9,34.7,0.0,6.4,8.5
45719,2008-03-12,13.3,31.7,0.2,7.8,11.0
45720,2008-03-13,13.2,33.1,0.0,8.6,9.7
45721,2008-03-14,12.3,33.8,0.0,7.2,11.3
45722,2008-03-15,13.8,35.2,0.0,6.4,11.2
45723,2008-03-16,11.3,32.3,0.0,9.4,11.4
45724,2008-03-17,11.7,30.2,0.0,7.8,11.2
45725,2008-03-18,12.5,29.9,0.0,5.8,10.7
45726,2008-03-19,15.1,26.2,0.0,9.0,9.8
45727,2008-03-20,11.5,29.3,0.0,5.2,8.0
45728,2008-03-21,13.0,14.8,0.0,8.2,0.0
45729,2008-03-22,11.6,19.6,0.0,2.8,1.6
45730,2008-03-23,12.8,24.9,0.0,2.4,6.2
45731,2008-03-24,15.5,22.4,0.6,4.8,1.9
45732,2008-03-25,13.1,17.4,6.4,2.8,0.0
45733,2008-03-26,12.6,20.2,19.8,2.6,9.1
45734,2008-03-27,4.4,18.3,0.0,4.6,9.6
45735,2008-03-28,4.4,18.2,0.0,3.6,11.0
45736,2008-03-29,7.1,18.5,0.0,3.4,10.0
45737,2008-03-30,4.2,18.9,0.0,6.4,10.8
45738,2008-03-31,9.6,18.8,0.0,6.4,10.0
45739,2008-04-01,3.5,21.8,0.0,6.0,10.3
45740,2008-04-02,5.3,23.3,0.0,3.6,5.6
45741,2008-04-03,7.0,14.3,2.6,9.6,9.7
45742,2008-04-04,0.4,18.9,0.0,4.8,9.6
45743,2008-04-05,3.2,21.4,0.0,3.2,10.6
45744,2008-04-06,5.9,21.8,0.0,2.8,9.3
45745,2008-04-07,8.1,20.5,0.0,3.8,7.8
45746,2008-04-08,6.9,18.9,0.0,4.2,4.1
45747,2008-04-09,5.6,19.5,0.0,2.8,6.8
45748,2008-04-10,7.2,22.9,0.0,2.2,9.5
45749,2008-04-11,7.1,23.4,0.0,3.4,10.2
45750,2008-04-12,6.1,24.1,0.0,4.6,6.1
45751,2008-04-13,7.1,19.8,2.0,3.2,7.7
45752,2008-04-14,5.6,18.0,5.2,3.8,9.3
45753,2008-04-15,5.4,20.7,0.0,3.2,10.8
45754,2008-04-16,6.3,19.3,0.0,3.4,10.6
45755,2008-04-17,5.3,21.0,0.0,4.6,6.3
45756,2008-04-18,7.9,19.7,0.0,3.2,8.3
45757,2008-04-19,8.4,16.1,0.0,3.0,4.9
45758,2008-04-20,8.1,18.7,0.0,4.4,7.1
45759,2008-04-21,2.4,20.6,0.0,2.8,10.1
45760,2008-04-22,5.6,18.9,0.0,3.8,8.0
45761,2008-04-23,7.5,19.0,0.0,4.0,6.8
45762,2008-04-24,2.5,21.2,0.0,2.0,7.9
45763,2008-04-25,5.0,20.9,0.0,2.0,8.9
45764,2008-04-26,3.8,21.7,0.2,2.8,6.5
45765,2008-04-27,7.9,18.7,0.0,5.8,5.8
45766,2008-04-28,4.3,11.3,7.2,4.4,5.6
45767,2008-04-29,-2.1,13.8,0.2,1.8,9.5
45768,2008-04-30,-1.8,14.8,0.0,1.4,7.0
45769,2008-05-01,3.8,13.8,0.0,2.8,0.8
45770,2008-05-02,2.1,17.3,0.0,1.6,9.2
45771,2008-05-03,0.5,17.1,0.0,4.0,9.4
45772,2008-05-04,-0.9,16.7,0.0,2.4,9.3
45773,2008-05-05,0.4,19.0,0.0,3.4,8.3
45774,2008-05-06,7.5,16.8,0.0,2.8,3.0
45775,2008-05-07,8.3,17.6,0.0,3.4,9.4
45776,2008-05-08,-0.2,18.1,0.0,4.4,9.4
45777,2008-05-09,0.1,21.0,0.0,2.2,9.2
45778,2008-05-10,1.5,20.9,0.0,2.4,9.3
45779,2008-05-11,8.3,17.4,0.0,2.0,1.6
45780,2008-05-12,9.4,19.2,0.0,2.2,7.7
45781,2008-05-13,1.3,19.0,0.0,2.2,9.4
45782,2008-05-14,2.2,18.6,0.0,2.0,9.2
45783,2008-05-15,-0.4,17.9,0.0,2.4,8.7
45784,2008-05-16,4.5,16.0,1.8,3.0,4.3
45785,2008-05-17,7.9,12.3,1.0,1.8,1.7
45786,2008-05-18,4.3,14.1,0.8,1.6,8.8
45787,2008-05-19,-2.7,18.1,0.0,2.2,9.3
45788,2008-05-20,0.3,17.0,0.0,2.2,5.6
45789,2008-05-21,3.8,17.4,0.0,2.6,7.3
45790,2008-05-22,2.4,14.7,0.0,2.6,9.2
45791,2008-05-23,1.2,14.8,0.0,2.4,6.7
45792,2008-05-24,1.2,14.5,0.0,1.2,8.9
45793,2008-05-25,-0.3,17.5,0.0,1.6,8.4
45794,2008-05-26,4.7,18.5,3.8,2.0,5.1
45795,2008-05-27,4.9,18.1,5.2,1.2,8.5
45796,2008-05-28,1.4,16.8,0.0,1.6,8.2
45797,2008-05-29,2.2,17.5,0.2,1.2,8.5
45798,2008-05-30,-0.1,18.0,0.0,2.0,8.6
45799,2008-05-31,-0.9,18.5,0.0,2.2,8.9
45800,2008-06-01,0.6,14.0,0.0,2.2,2.7
45801,2008-06-02,4.6,15.7,0.0,1.0,0.6
45802,2008-06-03,9.8,14.4,0.8,0.6,0.0
45803,2008-06-04,10.6,15.1,3.8,0.2,2.6
45804,2008-06-05,7.8,15.1,0.0,2.2,2.7
45805,2008-06-06,4.4,16.7,0.0,1.6,9.0
45806,2008-06-07,-0.2,15.5,0.0,1.4,9.0
45807,2008-06-08,4.3,14.5,0.0,2.0,3.0
45808,2008-06-09,7.4,16.3,0.0,1.2,
45809,2008-06-10,8.6,13.7,6.2,2.2,0.0
45810,2008-06-11,10.2,15.0,4.8,0.2,0.5
45811,2008-06-12,7.3,16.4,0.2,1.2,8.5
45812,2008-06-13,8.7,13.0,0.6,3.2,7.1
45813,2008-06-14,1.0,11.8,0.0,2.2,7.2
45814,2008-06-15,2.1,14.7,0.0,2.6,8.2
45815,2008-06-16,6.4,16.9,0.0,2.6,5.9
45816,2008-06-17,5.4,15.5,0.0,1.6,5.8
45817,2008-06-18,0.4,15.5,0.0,1.0,4.7
45818,2008-06-19,4.0,15.9,0.0,0.6,2.0
45819,2008-06-20,8.4,11.7,4.8,0.6,0.0
45820,2008-06-21,0.4,13.9,0.6,0.8,7.7
45821,2008-06-22,4.2,14.0,0.0,1.4,7.6
45822,2008-06-23,0.9,12.9,0.0,2.0,6.8
45823,2008-06-24,0.8,13.0,0.0,1.4,4.1
45824,2008-06-25,4.3,12.6,0.0,2.0,9.0
45825,2008-06-26,6.3,11.8,0.0,2.6,6.5
45826,2008-06-27,3.5,14.3,0.0,3.4,8.9
45827,2008-06-28,-1.5,14.8,0.0,2.2,8.0
45828,2008-06-29,1.2,16.0,0.0,1.4,6.1
45829,2008-06-30,0.5,15.4,0.0,2.4,6.4
45830,2008-07-01,5.3,11.7,2.0,3.6,5.6
45831,2008-07-02,6.6,13.1,0.2,2.8,8.2
45832,2008-07-03,-1.6,11.5,0.0,2.8,8.9
45833,2008-07-04,-3.1,12.0,0.0,1.8,3.9
45834,2008-07-05,-0.1,14.2,0.0,1.4,7.0
45835,2008-07-06,-0.6,14.0,0.0,1.2,7.1
45836,2008-07-07,3.0,11.1,0.8,1.4,0.2
45837,2008-07-08,2.9,9.5,16.8,1.4,6.5
45838,2008-07-09,-1.3,8.8,0.0,0.8,2.8
45839,2008-07-10,1.8,8.7,0.0,1.8,1.2
45840,2008-07-11,2.9,8.4,1.6,1.4,7.7
45841,2008-07-12,-2.6,11.1,0.2,1.4,6.5
45842,2008-07-13,0.5,11.0,0.0,1.0,0.9
45843,2008-07-14,2.7,16.5,0.0,0.6,8.9
45844,2008-07-15,-1.7,13.6,0.0,1.8,5.2
45845,2008-07-16,-0.9,12.8,0.2,2.0,1.9
45846,2008-07-17,-1.8,11.5,0.0,0.6,4.7
45847,2008-07-18,1.3,10.6,0.0,0.8,5.6
45848,2008-07-19,2.4,11.6,1.2,2.2,8.1
45849,2008-07-20,-1.1,11.0,0.2,1.8,0.0
45850,2008-07-21,2.3,11.6,19.2,1.8,7.5
45851,2008-07-22,-2.2,11.6,0.0,1.4,9.2
45852,2008-07-23,-3.5,11.2,0.0,1.6,7.7
45853,2008-07-24,-1.0,12.2,0.0,1.6,8.4
45854,2008-07-25,-2.1,12.9,0.0,1.2,8.1
45855,2008-07-26,-2.0,11.3,0.2,2.2,5.9
45856,2008-07-27,-2.3,9.7,0.0,1.4,1.9
45857,2008-07-28,-1.6,10.7,1.4,0.8,9.1
45858,2008-07-29,0.8,12.2,0.0,1.8,8.6
45859,2008-07-30,-2.8,12.2,0.0,2.6,8.7
45860,2008-07-31,-2.8,14.1,0.0,2.2,6.8
45861,2008-08-01,3.0,9.7,1.0,2.6,0.7
45862,2008-08-02,4.4,11.5,6.6,2.2,9.3
45863,2008-08-03,2.3,12.8,0.0,2.2,9.6
45864,2008-08-04,-2.0,12.3,0.0,2.4,5.8
45865,2008-08-05,-1.9,10.9,0.0,1.8,4.2
45866,2008-08-06,4.8,14.1,4.0,1.6,8.3
45867,2008-08-07,-0.6,11.1,0.0,3.0,5.0
45868,2008-08-08,3.1,12.5,1.2,1.4,7.2
45869,2008-08-09,-2.9,9.6,0.0,1.8,7.3
45870,2008-08-10,-3.5,7.6,0.4,2.4,4.7
45871,2008-08-11,-0.3,9.3,0.4,1.4,9.9
45872,2008-08-12,0.1,10.4,0.0,1.8,7.9
45873,2008-08-13,2.3,12.2,0.0,2.8,9.8
45874,2008-08-14,2.1,10.7,0.0,3.4,9.4
45875,2008-08-15,4.6,14.7,0.0,4.4,8.4
45876,2008-08-16,3.7,14.2,0.0,3.0,10.0
45877,2008-08-17,-1.3,11.6,0.0,4.0,10.4
45878,2008-08-18,-3.4,12.5,0.0,3.0,6.8
45879,2008-08-19,-5.3,13.1,0.0,2.2,7.9
45880,2008-08-20,0.0,14.0,0.0,2.4,4.7
45881,2008-08-21,2.4,14.1,0.0,3.0,1.8
45882,2008-08-22,-0.6,12.2,0.0,2.6,7.0
45883,2008-08-23,2.3,11.6,0.0,5.4,9.5
45884,2008-08-24,-3.7,14.4,0.0,2.6,10.4
45885,2008-08-25,-0.9,14.2,0.0,2.6,7.8
45886,2008-08-26,-1.5,17.3,0.0,2.8,9.0
45887,2008-08-27,-3.3,15.1,0.0,3.0,
45888,2008-08-28,-0.1,14.7,0.0,3.4,9.9
45889,2008-08-29,-0.2,16.2,0.0,3.4,5.9
45890,2008-08-30,0.5,16.3,0.0,1.8,4.1
45891,2008-08-31,6.1,17.2,4.0,2.2,2.4
45892,2008-09-01,4.1,14.8,7.4,2.6,10.8
45893,2008-09-02,0.1,16.7,0.0,3.8,10.2
45894,2008-09-03,3.2,12.1,0.0,2.8,3.9
45895,2008-09-04,5.4,11.3,0.2,2.2,0.6
45896,2008-09-05,5.8,12.4,0.0,1.6,0.0
45897,2008-09-06,6.3,16.1,0.0,1.8,2.9
45898,2008-09-07,-0.9,16.7,0.0,2.8,8.6
45899,2008-09-08,0.2,15.5,1.0,2.4,9.4
45900,2008-09-09,-3.7,14.7,0.0,3.4,10.9
45901,2008-09-10,-2.7,15.2,0.0,4.0,9.7
45902,2008-09-11,-2.5,16.6,0.0,3.0,9.9
45903,2008-09-12,-0.5,21.6,0.0,5.0,9.9
45904,2008-09-13,9.0,25.5,0.0,5.6,10.2
45905,2008-09-14,13.1,19.4,9.8,8.8,6.0
45906,2008-09-15,8.7,19.7,1.6,5.2,8.0
45907,2008-09-16,3.9,13.2,3.4,6.6,11.0
45908,2008-09-17,0.7,14.1,0.0,5.6,9.0
45909,2008-09-18,1.1,18.0,0.0,1.6,8.6
45910,2008-09-19,5.1,23.3,0.0,3.6,10.3
45911,2008-09-20,7.5,23.3,0.0,6.8,10.9
45912,2008-09-21,4.7,19.5,0.0,10.0,11.0
45913,2008-09-22,3.2,21.9,0.0,6.8,5.2
45914,2008-09-23,7.8,16.2,17.4,6.4,7.9
45915,2008-09-24,2.4,17.3,0.0,2.2,11.3
45916,2008-09-25,3.2,18.7,0.0,2.6,11.1
45917,2008-09-26,2.5,20.9,0.0,3.6,10.6
45918,2008-09-27,6.5,25.7,0.0,4.8,10.5
45919,2008-09-28,14.4,24.3,0.0,9.4,11.1
45920,2008-09-29,4.9,18.9,0.0,9.6,9.4
45921,2008-09-30,2.3,16.8,0.0,4.8,11.4
45922,2008-10-01,1.4,20.6,0.0,5.4,11.1
45923,2008-10-02,5.6,27.6,0.0,5.2,11.0
45924,2008-10-03,16.8,28.9,0.0,10.0,10.8
45925,2008-10-04,14.4,20.7,7.6,9.4,4.9
45926,2008-10-05,10.3,21.3,3.0,4.2,6.7
45927,2008-10-06,11.2,18.0,0.0,4.8,8.4
45928,2008-10-07,0.3,16.0,8.2,5.4,11.8
45929,2008-10-08,0.5,17.9,0.0,5.8,11.5
45930,2008-10-09,0.5,20.0,0.0,6.2,11.5
45931,2008-10-10,4.6,22.0,0.0,4.4,11.0
45932,2008-10-11,8.2,22.4,0.0,5.4,11.2
45933,2008-10-12,4.5,23.9,0.0,4.8,11.7
45934,2008-10-13,6.7,26.1,0.0,6.2,7.5
45935,2008-10-14,11.9,21.1,13.2,6.6,
45936,2008-10-15,9.2,19.6,0.6,3.4,10.4
45937,2008-10-16,4.4,21.0,0.0,4.2,12.2
45938,2008-10-17,5.0,24.1,0.0,6.2,12.0
45939,2008-10-18,6.7,24.7,0.0,5.4,8.6
45940,2008-10-19,8.3,28.5,0.0,5.8,9.8
45941,2008-10-20,11.3,27.4,0.2,7.6,12.1
45942,2008-10-21,9.0,20.6,0.0,9.0,6.2
45943,2008-10-22,3.4,15.0,0.8,4.8,11.7
45944,2008-10-23,3.2,18.0,0.0,7.4,12.2
45945,2008-10-24,0.9,20.7,0.0,5.4,8.4
45946,2008-10-25,3.3,25.5,0.0,5.2,10.8
45947,2008-10-26,7.9,26.1,0.0,6.8,3.5
45948,2008-10-27,9.0,30.7,0.0,7.6,12.1
45949,2008-10-28,7.1,28.4,0.0,11.6,12.7
45950,2008-10-29,12.5,19.9,0.0,8.4,5.3
45951,2008-10-30,12.5,26.9,0.0,5.0,7.1
45952,2008-10-31,12.3,30.2,0.0,6.0,12.6
45953,2008-11-01,10.5,20.6,0.0,13.0,7.7
45954,2008-11-02,11.4,25.3,0.0,5.2,4.6
45955,2008-11-03,13.2,23.5,16.0,6.2,10.1
45956,2008-11-04,8.4,21.1,0.0,7.6,11.8
45957,2008-11-05,7.6,20.8,0.0,6.2,5.5
45958,2008-11-06,6.6,25.7,0.0,5.4,12.4
45959,2008-11-07,8.0,21.1,0.0,8.6,0.0
45960,2008-11-08,12.6,18.5,8.4,2.8,3.7
45961,2008-11-09,6.4,23.0,0.0,5.4,13.1
45962,2008-11-10,11.9,26.7,0.0,6.6,10.5
45963,2008-11-11,11.2,27.2,0.0,6.6,12.3
45964,2008-11-12,11.1,30.4,0.0,7.8,11.6
45965,2008-11-13,11.8,30.8,0.0,7.6,10.9
45966,2008-11-14,14.3,32.9,0.0,8.2,9.8
45967,2008-11-15,15.7,27.3,3.2,11.2,11.6
45968,2008-11-16,7.3,24.5,0.0,10.2,12.3
45969,2008-11-17,9.6,24.6,0.0,8.0,12.1
45970,2008-11-18,12.5,22.2,0.0,8.2,2.0
45971,2008-11-19,15.2,22.6,0.0,2.6,1.4
45972,2008-11-20,14.4,22.6,11.6,1.0,7.7
45973,2008-11-21,10.3,23.0,0.4,5.4,11.2
45974,2008-11-22,7.1,13.1,3.0,10.0,6.3
45975,2008-11-23,5.0,16.0,13.8,6.6,4.2
45976,2008-11-24,8.8,22.2,3.0,3.6,10.1
45977,2008-11-25,10.3,19.5,0.0,6.4,10.7
45978,2008-11-26,9.4,21.5,0.0,5.0,6.6
45979,2008-11-27,9.8,27.9,0.0,4.8,8.7
45980,2008-11-28,13.4,26.1,9.2,7.6,5.0
45981,2008-11-29,14.8,23.9,15.4,5.6,10.3
45982,2008-11-30,8.3,21.5,3.4,6.6,13.6
45983,2008-12-01,13.6,25.2,0.0,9.6,13.0
45984,2008-12-02,5.6,24.5,0.0,13.0,13.2
45985,2008-12-03,9.1,25.6,0.0,10.2,13.2
45986,2008-12-04,11.2,24.4,0.0,11.0,10.8
45987,2008-12-05,14.6,29.5,0.4,6.6,8.1
45988,2008-12-06,13.2,29.1,0.0,6.4,9.4
45989,2008-12-07,16.5,26.6,0.0,12.4,12.3
45990,2008-12-08,12.0,26.5,0.0,12.8,12.9
45991,2008-12-09,9.3,28.9,0.0,8.0,8.1
45992,2008-12-10,15.0,23.4,0.0,10.8,8.8
45993,2008-12-11,13.3,22.7,0.0,6.6,6.6
45994,2008-12-12,12.6,21.8,4.6,6.2,0.0
45995,2008-12-13,13.2,23.0,55.4,3.6,10.2
45996,2008-12-14,12.1,19.5,0.0,9.2,5.8
45997,2008-12-15,10.8,23.4,0.0,6.6,12.9
45998,2008-12-16,7.8,25.2,0.0,7.0,13.3
45999,2008-12-17,10.3,24.7,0.0,9.6,4.5
46000,2008-12-18,13.1,25.3,7.8,3.8,9.3
46001,2008-12-19,8.5,21.2,0.6,6.8,12.9
46002,2008-12-20,7.2,21.2,0.0,8.4,12.6
46003,2008-12-21,9.3,24.6,0.0,5.8,13.1
46004,2008-12-22,10.9,29.0,0.0,,12.6
46005,2008-12-23,16.1,26.0,4.2,,4.9
46006,2008-12-24,13.7,20.4,15.0,6.8,1.4
46007,2008-12-25,10.8,29.0,0.0,2.4,11.5
46008,2008-12-26,14.2,30.8,0.0,6.8,11.0
46009,2008-12-27,14.8,28.6,0.0,9.8,4.1
46010,2008-12-28,13.2,29.7,33.0,9.2,12.5
46011,2008-12-29,11.7,27.5,0.0,8.2,12.5
46012,2008-12-30,11.6,21.8,0.0,8.4,10.6
46013,2008-12-31,13.5,24.0,0.0,9.8,13.4
46014,2009-01-01,12.6,27.1,0.0,10.6,13.3
46015,2009-01-02,12.7,23.8,0.0,13.6,13.4
46016,2009-01-03,10.0,26.1,0.0,8.8,13.4
46017,2009-01-04,10.5,30.7,0.0,6.0,11.3
46018,2009-01-05,13.9,31.8,0.0,7.0,13.6
46019,2009-01-06,10.4,34.7,0.0,11.2,13.5
46020,2009-01-07,12.4,36.0,0.0,13.0,9.2
46021,2009-01-08,16.5,26.7,0.0,12.8,10.2
46022,2009-01-09,11.4,21.5,0.0,7.4,11.4
46023,2009-01-10,8.4,24.5,0.0,7.0,10.3
46024,2009-01-11,9.5,29.3,0.0,6.4,9.6
46025,2009-01-12,13.8,27.3,2.0,8.0,13.3
46026,2009-01-13,15.8,33.8,0.0,8.6,11.3
46027,2009-01-14,15.5,37.6,0.0,9.2,13.4
46028,2009-01-15,17.8,37.7,0.0,12.6,12.3
46029,2009-01-16,14.6,29.4,0.0,14.4,13.2
46030,2009-01-17,7.9,25.0,0.0,14.6,13.3
46031,2009-01-18,8.0,29.2,0.0,8.8,12.9
46032,2009-01-19,11.5,33.1,0.0,7.2,13.3
46033,2009-01-20,14.9,34.3,0.0,10.4,8.8
46034,2009-01-21,16.7,34.1,21.2,11.0,12.1
46035,2009-01-22,19.9,29.0,0.0,11.2,6.5
46036,2009-01-23,18.7,31.3,18.6,9.0,11.0
46037,2009-01-24,17.7,29.4,10.2,8.0,12.8
46038,2009-01-25,15.1,27.7,0.0,11.2,7.9
46039,2009-01-26,13.2,31.2,0.0,5.2,13.0
46040,2009-01-27,16.7,32.2,0.0,9.6,9.2
46041,2009-01-28,17.4,34.8,0.0,6.8,13.0
46042,2009-01-29,18.5,37.0,0.0,10.4,12.9
46043,2009-01-30,16.4,37.2,0.0,11.0,13.1
46044,2009-01-31,15.7,38.2,0.0,10.0,12.7
46045,2009-02-01,19.0,31.9,0.0,10.6,11.8
46046,2009-02-02,17.0,34.7,0.0,10.6,10.2
46047,2009-02-03,17.5,31.0,0.6,10.2,7.8
46048,2009-02-04,17.4,33.8,0.0,8.0,9.0
46049,2009-02-05,18.7,37.4,0.0,7.0,12.7
